,ProductID,Item_Purchased,Brand,Category_y,Price,Description
0,0,Garnier Fructis Sleek & Shine Shampoo,Garnier,Hair_Care,5.99,"Garnier's Fructis Sleek & Shine Shampoo is perfect for taming frizz and giving your hair a sleek, shiny look. Say goodbye to flyaways!"
1,1,L'Oreal Paris Voluminous Original Mascara,L'Oreal,Mascara,7.990000000000001,"Get bold and voluminous lashes with L'Oreal Paris Voluminous Original Mascara, a classic favorite for dramatic eye looks."
2,2,Redken All Soft Mega Shampoo,Redken,Hair_Care,19.99,Redken All Soft Mega Shampoo is a nourishing formula that provides intense moisture for soft and manageable hair.
3,3,Rochas Eau de Rochas Eau de Toilette,Rochas,Fragrance,49.99,Rochas Eau de Rochas Eau de Toilette is a fresh and citrusy scent that's perfect for a refreshing and invigorating experience.
4,4,Prada Candy Eau de Parfum,Prada,Fragrance,79.99,"Indulge in the sweet and sensual scent of Prada Candy Eau de Parfum, a fragrance that captures the essence of luxury and femininity."
5,5,L'Oreal Paris Colour Riche Lipstick,L'Oreal,Lipstick,8.99,"L'Oreal Paris Colour Riche Lipstick offers rich and creamy color with a luxurious feel, making your lips look and feel beautiful."
6,6,Maybelline Lash Sensational Mascara,Maybelline,Mascara,7.49,"Maybelline's Lash Sensational Mascara adds volume and length to your lashes, giving you a sensational, dramatic look."
7,7,L'Oreal Paris True Match Super-Blendable Foundation,L'Oreal,Makeup,10.99,"Find your perfect match with L'Oreal Paris True Match Super-Blendable Foundation, a foundation that blends seamlessly for a natural look."
8,8,L'Oreal Paris Infallible Pro-Matte Foundation,L'Oreal,Makeup,12.99,"Achieve a flawless, matte finish with L'Oreal Paris Infallible Pro-Matte Foundation. It's long-lasting and perfect for all-day wear."
9,9,Viktor & Rolf Flowerbomb Eau de Parfum,Viktor & Rolf,Fragrance,99.99,Viktor & Rolf's Flowerbomb Eau de Parfum is a floral explosion of scent that will make you feel like a walking bouquet of flowers.
10,10,Viktor & Rolf Spicebomb Eau de Toilette,Viktor & Rolf,Fragrance,89.99,"Spicebomb Eau de Toilette is a fiery and masculine fragrance from Viktor & Rolf, designed to ignite the senses."
11,11,Yves Saint Laurent Touche Éclat Radiant Touch Concealer,Yves Saint Laurent,Makeup,34.99,"YSL's Touche Éclat Radiant Touch Concealer brightens and conceals under-eye circles, making you look refreshed and radiant."
12,12,Giorgio Armani Acqua Di Gio Pour Homme,Armani,Fragrance,74.99,"Acqua Di Gio Pour Homme is a classic men's fragrance from Armani, inspired by the freshness of the sea and the warmth of the sun."
13,13,Nexxus Humectress Ultimate Moisture Conditioner,Nexxus,Hair_Care,12.49,"Nexxus Humectress Ultimate Moisture Conditioner deeply hydrates and restores dry, damaged hair, leaving it silky and smooth."
14,14,Mixa Intensive Repair Hand Cream,Mixa,Skincare,5.99,"Mixa's Intensive Repair Hand Cream is designed to heal and protect dry, cracked hands, leaving them soft and smooth."
15,15,Maybelline SuperStay Matte Ink Liquid Lipstick,Maybelline,Lipstick,9.99,"Maybelline's SuperStay Matte Ink Liquid Lipstick offers intense color and up to 16 hours of wear, so your lips stay bold all day long."
16,16,L'Oreal Paris Color Riche Eyeshadow Palette,L'Oreal,Eyeshadow,14.99,"Create stunning eye looks with L'Oreal Paris Color Riche Eyeshadow Palette, featuring a range of beautiful shades for every occasion."
17,17,Diesel Only The Brave Eau de Toilette,Diesel,Fragrance,64.99,"Show your strength and bravery with Diesel's Only The Brave Eau de Toilette, a bold and masculine scent that leaves a lasting impression."
18,18,Garnier Fructis Full & Plush Conditioner,Garnier,Hair_Care,5.99,"Transform your hair with Garnier's Fructis Full & Plush Conditioner, designed to add volume and thickness for fuller-looking locks."
19,19,Lancome Hypnose Drama Waterproof Mascara,Lancome,Mascara,27.990000000000002,Lancome's Hypnose Drama Waterproof Mascara adds drama and intensity to your lashes while staying smudge-proof all day.
20,20,Giorgio Armani Luminous Silk Foundation,Armani,Makeup,64.99,"Giorgio Armani's Luminous Silk Foundation is a cult-favorite for its lightweight, silky texture and natural-looking finish."
21,21,L'Oreal Paris Elvive Total Repair 5 Shampoo,L'Oreal,Hair_Care,6.99,Repair and strengthen your hair with L'Oreal Paris Elvive Total Repair 5 Shampoo. It tackles five common hair problems for healthier locks.
22,22,Lancome La Vie Est Belle Eau de Parfum,Lancome,Fragrance,89.99,Lancome's La Vie Est Belle Eau de Parfum is a beautiful and uplifting scent that celebrates the joy of life.
23,23,Armani Code Eau de Parfum,Armani,Fragrance,89.99,"Armani Code Eau de Parfum is a seductive and captivating fragrance for men, perfect for a night out or a special occasion."
24,24,Yves Saint Laurent Rouge Pur Couture Lipstick,Yves Saint Laurent,Lipstick,34.99,YSL's Rouge Pur Couture Lipstick offers intense color and hydration in one. Get ready to make a bold statement with your lips.
